salary,about,description,title,skills,company,responsibilities,contact,location,education
,,,,  ,,,,,
,:,,,,,,,,
,Do you excel in a modern and energetic IT environment? Are you inspired by coworkers that share the same passion for technology and innovation?,,,,,,,,
,                       ,,,,,,,,
,                       ,,,,,,,,
,WPCG,,,,,,,,
, is searching for a ,,,,,,,,
,Business Intelligence Developer Analyst,,,,,,,,
, for one of our Vancouver based clients. ,,,,,,,,
,        ,,,,,,,,
,        ,,,,,,,,
,Job Description,,,,,,,,
,:,,,,,,,,
,"The BI Developer Analyst will gather requirements, develop and implement reports, dashboards, alerts and other deliverables required to improve the performance of the business technologies related to: Cognos, SSRS, SSAS, SSIS, Crystal and application specific reporting.",,,,,,,,
,                                   ,,,,,,,,
,                                   ,,,,,,,,
, ,,,,,,,,
,To Apply – Visit our website ,,,,,,,,
,www.stellar-recruitment.com,,,,,,,,
,.,,,,,,,,
,,,"<title>
    Testing Analyst Job in Burnaby V5G4A3, British Columbia Canada
  </title>",,,,,,
,Test Analyst ,,,,,,,,
,,,,"Gather requirements, write automated test      scenarios for web-based applications, real-time machine interfaces and      batch mechanisms.",,,,,
,,,,"Write detailed test plans, execute test runs,      analyze results, provide reports, and GoNoGo recommendations.",,,,,
,,,,Has prior experience of testing      high-visibility applications from the perspective of user experience and      mission-critical services.,,,,,
,,,,"Write automated scripts, build and maintain a      library of reusable tests, results benchmarks and baseline configurations.",,,,,
,,,,Operate regular cycles of testing against the      prod release schedule in parallel to the testing of freshly-developed      customizations (Test-Driven Development),,,,,
,,,,System administrator’s knowledge (at the OS      tuning level) for Windows/Linux platforms. ,,,,,
,,,,"Experience of using, managing and optimizing      cloud appliances (in VMWare) ",,,,,
,,,,"Webload (Radview) an asset, or top-tier      integrated performance testing suite.",,,,,
,,,,"Apache tomcat, RedHat servers, Oracle DB ",,,,,
,,,,JIRA as issue management system,,,,,
,,,,VMWare machines and hypervisor.,,,,,
,,,,Knowledge of Uniface technology a definite      asset.,,,,,
,,,,Undergraduate degree      in a relevant discipline,,,,,
,,,,Formal certification      from a recognized professional organization or professional development      provider is an asset,,,,,
,,,,"Strong   working knowledge of design and implementation, data modeling, relational   databases, using either SQL Server technologies or Oracle   ",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Extensive   experience developing n-tier applications using application server   environments such as jBoss,,,,,
,Requirements,,,,,,,,
,:,,,,,,,,
,,,,  ,,,,,
,,,,At   least 4 years’ experience as a SQL Developer and experience with SQL Server   2008 (SSRS and SSIS).,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Strong   Experience developing with T-SQL, including stored procedures, tables, charts   and indexes. ",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Strong   experience with SSRS, SSIS and ETL, as well as MDX. ",,,,,
, ,,,,,,,,
,"At Stellar, we’re focused on people—outstanding people. Our staff have been building solid relationships and growing an extensive network in Vancouver and Calgary’s IT, Accounting & Finance and Engineering sectors for over 10 years. As a result, we have strong connections to the best organizations and the most talented minds in this city.",,,,,,,,
, ,,,,,,,,
,Scope of Work: ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,TheTest Analyst is required to thoroughly review Functional Specifications and Operational Procedures and develop comprehensive User Acceptance Detailed Test Plans and progression/regression Test cases. ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,"The Test Analyst is responsible for writing test plans, test scripts, test case execution within given timeframes, ensuring defect identification is accurately recorded and assigned to the relevant party for investigation and documenting test results. ",,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,"Working closely with the IT Project Manager, Project Test Manager, a variety of project team members and external parties the test analyst is responsible to plan, execute and report on testing. ",,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,,,,"A minimum of 5 years      of experience, in-depth knowledge of applications and the business      requirements supporting them or the equivalent combination of education      and experience.",,,,,
,,,,"Minimum 5 years of      experience in quality assurance, performance testing and software/application      development. ",,,,,
,,,,Experience with      scalability and testing enterprise applications. ,,,,,
,,,,"Experience in various      types of performance testing: load testing, benchmarking, and stress      testing.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Data   warehousing / cube / data modeling experience will be a great asset as well.   ,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Excellent   communication, interpersonal and presentation skills.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Results-oriented   individual, who can work on various items within tight deadlines. ",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Financial   sector experience would be considered an asset.,,,,,
,"Our business is guided by honesty and integrity. Those qualities make us diligent about finding exceptional matches that work to the mutual advantage of both the hiring company and the candidate. We’ll find the most appropriate person for each position, and the most suitable position for every consultant. That’s our job and we do it well. No red tape. Just simple, straightforward solutions that make life easier for our clients.",,,,,,,,
,,,,"Processing of service requests through email, manual entry, or phone calls",,,,,
,,,,Coordination and scheduling of field technicians,,,,,
,,,,Management of service tickets,,,,,
,,,,Experience with a ticketing system,,,,,
,,,,Basic computer and operating system knowledge,,,,,
,,,,Ability to work in a fast-paced environment ,,,,,
,,,,Excellent communication skills both verbal and written,,,,,
,"This role will require direct contact with the Business and Operations stakeholders, Technical teams, Suppliers and Vendors dealing with the project. ",,,,,,,,
,Qualifications ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Degree in Information Technology or related field or 2+ years experience in QA/Test role. ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Experience - Minimum 2 years IT experience in an analyst role. ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Minimum 1 year IT experience in a quality assurance/testing environment. ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Technical Knowledge - Quality Centre – awareness and basic use.,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Extensive knowledge of the Telecoms industry and in particular Billing processes.,,,,,,,,
,·,,,,,,,,
,,,,Experience in in-depth      analysis of performance results and identifying bottlenecks.,,,,,
,,,,Experience with      creating performance test plan and framework.,,,,,
,,,,Experience with      setting up virtual performance test environments.,,,,,
,,,,"Experience with the      traceability, requirements and issue tracking systems. ",,,,,
,,,,Minimum of two years’ experience in a customer facing role,,,,,
,        ,,,,,,,,
,Testing or Quality Assurance ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Excellent written and verbal skills.,,,,,,,,
,Test Analyst ,,,,,,,,
,Scope of Work: ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,TheTest Analyst is required to thoroughly review Functional Specifications and Operational Procedures and develop comprehensive User Acceptance Detailed Test Plans and progression/regression Test cases. ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,"The Test Analyst is responsible for writing test plans, test scripts, test case execution within given timeframes, ensuring defect identification is accurately recorded and assigned to the relevant party for investigation and documenting test results. ",,,,,,,,
,·,,,,,,,,
,,,,Experience with open      source performance testing tools and selection process is an asset. ,,,,,
,,,,"Must have demonstrated      combination of knowledge and experience in the IT project lifecycle      including project management, business analysis, development, quality      assurance, change management and related disciplines. ",,,,,
,        ,,,,,,,,
,"Working closely with the IT Project Manager, Project Test Manager, a variety of project team members and external parties the test analyst is responsible to plan, execute and report on testing. ",,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,"This role will require direct contact with the Business and Operations stakeholders, Technical teams, Suppliers and Vendors dealing with the project. ",,,,,,,,
,Qualifications ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Degree in Information Technology or related field or 2+ years experience in QA/Test role. ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Experience - Minimum 2 years IT experience in an analyst role. ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Minimum 1 year IT experience in a quality assurance/testing environment. ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Technical Knowledge - Quality Centre – awareness and basic use.,,,,,,,,
,·,,,,,,,,
,,,,"Experience and a      working knowledge of SDLC methodologies, preferably Agile methodologies      (e.g. Lean, XP or Scrum)",,,,,
,,,,Experience testing      packaged solutions and integration with legacy systems,,,,,
,,,,Experience in      scripting languages such as Python Java script is required.,,,,,
,,,,Experience with      Service Oriented Architecture (SOA) is an asset.,,,,,
,,,,Experience in a higher      education environment is an asset. ,,,,,
,,,,"Experience using      Oracle, MS SQL Server and/or MySQL is an asset. ",,,,,
,,,,"Expert knowledge of      unit, integration, code migration, functional, regression, automation and      performance testing techniques is required.",,,,,
,,,,Knowledge of software      development defect management processes and proven leadership on defect      resolution procedures and reporting,,,,,
,,,,Knowledge of designing      and developing test environments and data for testing or quality control      is required.,,,,,
,,,,"A proven go-to person      for quality assurance performance testing knowledge and advice.      Demonstrated ability to create and implement quality performance test      strategies for varying project sizes. Expert knowledge of performance,      regression, unit and functional testing techniques. ",,,,,
,,,,Proven knowledge and      continuous learning of quality assurance analysis discipline and best      practices. ,,,,,
,,,,"Demonstrated      contributions to the continuous improvement of quality assurance analysis      practices, methodology and implementation. ",,,,,
,,,,"Strong analytical      skills demonstrated through analysis of complex software algorithms,      application of software quality assurance methods, and completion of root      cause analysis",,,,,
,        ,,,,,,,,
,Extensive knowledge of the Telecoms industry and in particular Billing processes.,,,,,,,,
,,,,"Strong understanding      and related experience with Testing best practices/concepts (e.g. Test and      Behavior Driven Development) and testing tools (e.g. JUnit, Cucumber, and      concepts)",,,,,
,,,,"Knowledge of project      management, quality assurance, change management disciplines and best      practices and development methodologies. ",,,,,
,,,,"Excellent      organizational, planning, and prioritization skills. Ability to multi-task      and address project demands in a fast-paced and changing environment.",,,,,
,,,,"Demonstrates the      willingness, ability, and enthusiasm to learn new processes, methodologies      or technologies. Good understanding of key trends and players in the IT      industry and higher-education sector ",,,,,
,,,,Working experience on      enterprise-wide projects.,,,,,
,,,,Ability to generate      reports using reporting and testing tools and data extract queries,,,,,
,,,,"Knowledge and      experience testing requirements associated with XML / XSL, and web      services; - familiarity testing applications for mobile devices is an      asset. ",,,,,
,,,,"Knowledge of      programming languages such as Java, .NET, PHP, PeopleTools, as appropriate",,,,,
,,,,"Knowledge of SQL, DDL,      Oracle PL/SQL and Stored procedures.",,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Testing or Quality Assurance ,,,,,,,,
,·,,,,,,,,
,        ,,,,,,,,
,Excellent written and verbal skills.,,,,,,,,
